paper_title,paper_authors,paper_venue,paper_year,source_file,element_type,evidence_type,section,text,confidence,page_number,element_id
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"However, it is not clear how decisions surrounding participation were made, which merits reflection.",0.95,12,9cb361f0-21ea-4d89-a10a-14907bbded51
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,Literature indicates that autistic stakeholders may not want to participate fully [56].,0.95,12,9b19e9dd-f227-483e-a69a-070746bfcf23
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"Moreover, experience adopting participatory design should be considered, particularly for researchers and stakeholders who are employing it for the first time in autism research [22].",0.95,12,f7d2ba87-5cc6-49af-8dde-4e84c52e8303
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"In other cases, as we have seen in Connecting through Kinect, it may not be possible to directly include the target stakeholders.",0.95,12,10d4f33e-7790-4940-8464-3b62979b2530
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"In these cases, there was a known importance for having some autistic representation (e.g., autistic researchers or autistic allies).",0.95,12,0158901e-af08-4b9d-a90a-2c2ec62209f3
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"There is an important consideration in understanding what knowledge those stakeholders have and what assumptions they may bring to the process based on their lived experience [30, 59].",0.95,12,c60f6a8c-7f9e-4693-b594-9e960addfd04
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,"We argue that more work is needed to reflect on decision-making on who participates, as well as assumptions that may influence those decisions.",0.95,12,3ff5bf21-a875-4eed-89d3-499d21ccd280
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"Building infrastructures to support participation varied between projects, such as devising customised participatory approaches (e.g. AHAT and AccessASD) or (as in most cases) providing multiple modes of participation (Reimagining Social Media, Inclusive Online Dating).",0.95,12,2459dda1-9c36-4d40-9ab8-c0f467bc8a67
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"Conencting through Kinect employed this quite creatively by encouraging movement in the design process, which was directly tailored to autistic needs.",0.95,12,b17d9ed3-ff0a-4dac-85b2-8c40604c2ee4
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"We learn that the conflicting sensory needs of autistic people need to be considered particularly in group activities (e.g., in PIUMA and Biomusic).",0.95,12,23dd5ad1-9b6e-467a-9ecf-01eb7927f202
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"All people, but especially autistic people, report differences in how they process sensory information, such as sounds [13].",0.95,12,3404463c-f4b7-4b11-9ffa-745222744eaa
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"Some people have low thresholds, meaning they are highly sensitive to the stimulus and desire to avoid them.",0.95,12,cbf5a8e2-92f3-4262-9151-224550e62525
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,Others may have a high threshold and actively seek certain sensory stimuli.,0.95,12,b789c2e7-2100-4171-ae22-bd82277a0205
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"These differences can cause tension and power imbalance, particularly in cases where it may seem that one stakeholder’s needs are prioritised over another.",0.95,12,bf47b402-062e-424c-b849-0aa0af5aa3f4
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,"It is important to consider how the nuances of how autistic stakeholders experience the world can be factored in designing activities, particularly in cases where there may be conflicts in sensory needs, such as in group activities (as referenced by Maun et al. [52]).",0.95,12,ade02a2f-e76a-4c6b-9a42-faef0527e51b
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"Power dynamics played a nuanced role in facilitating conversations between autistic and non-autistic stakeholders [57, 59].",0.95,12,237ef420-2de0-4982-9921-0969a36efdc0
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"Three of the projects (AccessASD, AHAT, and Reimagining Social Media) mentioned having autistic researchers on the team, who were imperative for making decisions on the project direction and making connections with other autistic stakeholders, which has been recommended as a means for empowering autistic participation [62].",0.95,12,7a09cad8-4a36-46c8-ad44-eaf64fdd1d04
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,How activities were structured seemed to be important to ensure that participants had a voice.,0.95,12,487cb02a-c739-49c4-bf84-31a4f165380a
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"Some projects approached this by ensuring that autistic stakeholders had an opportunity to share ideas individually before engaging in group activities (e.g., in AccessASD and SocialMirror), while others facilitated turn-taking (e.g., in PIUMA).",0.95,12,b9f4e287-7604-47ba-8f34-fc609949d7c4
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"However, while these researchers have done great work, we also witnessed limited engagement of the autistic adult stakeholders in shaping and refining the approaches employed for participation.",0.95,12,3e04f775-8c7f-449e-93d8-b9fdade21c2b
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,"Just as autistic adults are experts on what tools and technologies would benefit their lives, they are also experts on what methods and approaches could engage and drive them to participate.",0.95,12,dd1f7ac1-e3c9-4275-a345-ca95e1206ee9
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,"Therefore, we believe there could be more opportunities to involve autistic people in the decision-making of methods employed through active reflection, as we will discuss in section 6.2.",0.95,12,1ddd58b7-63bd-45db-b321-d5e1a5893282
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,"Additionally, the projects demonstrated that balancing power is a principle that should be considered when evaluating how the project unfolds.",0.95,12,c91aafdc-bb9c-40c4-b979-3f34dbed3e54
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,The introduction of individual activities before group activities occurred was important in AccessASD and SocialMirror.,0.95,12,0cd82121-f64e-422d-85de-4a5923e61a2c
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,"Although balancing such power is generally important in participatory projects [41, 76], the reflections on why this was facilitated seemed to stem from a consideration toward the voice of autistics in design and keeping the process autistic-centred.",0.95,12,79a46ece-0379-4569-a774-2c839a774369
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,The level of participatory relationships varied between projects.,0.95,12,f8a74802-7000-44e6-96ec-d85d25b93bc5
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"However, few initiated from long-lasting relationships, with most focusing on a shorter period of time.",0.95,12,2c66132a-3c9a-4641-b28e-0c36ed92931b
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,discussion,"This is not surprising, given the limited resources available to support neurodiversity-affirmative research in autism [66].",0.95,12,bd66f47a-673d-45ae-9aea-701727adf38e
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,"Creating lasting impact is a key issue facing much of HCI research that engages communities (see e.g. [23, 42]).",0.95,12,33b08a0b-20fe-4812-9326-2372d44725bb
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,"The shorter-term projects seemed to gather positive relationship-building experiences, particularly through partnerships with autism organisations and charities.",0.95,12,b1a3b99e-c72b-4384-813a-29c3e971f05f
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,"Such approaches enable shorter-term projects to connect with existing infrastructures within the community where there are predefined relationships with autistic people, and their role in society, thus mirroring existing developments in PD [23].",0.95,12,ec03a83c-346a-4e81-9a7b-9a61d1efd83b
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,"As researchers, we should connect with autistic-led organisations if the mechanism is to respect the autistic experience [31].",0.95,12,87c7eb04-7fcd-4925-9750-da0b76d2a584
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,"Embedding this research into the community enables “infrastructuring” [47], strengthening existing positive efforts by embedding them into the fabric of what is already there, strengthening impact, and increasing the possibility of long-term engagements.",0.95,12,48f88d2e-8408-4a7b-8e3c-a2cf82672f83
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,"In saying that, we argue the need to make visible the immediate gains that autistic people can harness through participation (which is important in community-based participatory design [48]).",0.95,12,c25b568a-6fe0-4cdc-b815-46b114cda3d2
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,"Doing so will also need to consider the plurality of goals between autistic stakeholders and organisational objectives, and how they align with the communities where participation is sought [48].",0.95,12,a310d5c1-e7b7-42d4-873c-04f75cdcc52f
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,It is important to acknowledge that resources and funding may impact who is involved and how participation is facilitated.,0.95,12,f405e115-3c65-45d6-acee-54f496b25ce4
Autisticadults,Unknown,,,autisticadults.pdf,claim,qualitative,discussion,"As mentioned above, most funding typically covers a shorter time period with actionable deadlines, which may be in contrast to the long-term commitment of participatory design.",0.95,12,6998e67c-4d03-47e7-9329-fec80e71a9bc
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,discussion,"We suggest that more participatory design projects could include autistic people in conversations about the role AI (e.g. Large Language Models employed in chatbots/agents, or deep learning techniques employed for autism diagnosis) could play in their lives.",0.9,12,5345150a-f921-455b-b42a-eed8617899e7
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,discussion,"Additionally, we suggest conducting participatory research with autistic people to explore what the diagnostic process could look like and how technology could support that process.",0.9,12,fd305f1f-6eef-43a4-b8d7-befffbe35a4e
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,discussion,"With the growing recognition of self-diagnosis in neurodiversity-affirmative research (e.g., as indicated by Sarrett[73]), we recommend involving those who self-identify as autistic and how their needs could be facilitated in the diagnosis process, if at all.",0.85,12,f9ac2a53-e235-4990-b6c0-3ce6ab7b060d
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,discussion,"We agree with Fletcher-Watson et al. [30] that participation in hard science topics (e.g. AI, Brain Scanning applications) could result in knowledge exchange that empowers autistic people with the skills to critique the role they play in their lives.",0.8,12,59209671-8f38-4f09-a8e8-72652802dbc7
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,discussion,We would like to reinforce that autistic people have multiple lived expertise [59] that can be critical to planning and fostering engagement in participatory activities.,0.9,12,b542150a-87f7-4376-824e-4e69016abca5
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,discussion,"In future projects, there are certainly more possibilities to consider the multiple lived expertise in participatory design and research as recommended by Nicoladis et al. [59].",0.85,12,ee6e6391-b170-49e9-9fe9-330eb6b307c9
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,discussion,"However, we argue that broadening the scope of participation, and reimagining how activities are not only tailored to meet their needs but also strengths, can be beneficial.",0.9,12,094395b0-ed00-4ee1-8928-3717618c0ef6
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,discussion,"Moreover, we argue that involving autistics in some way falls in line with the considerations of community-based participatory research (see, e.g. [48]) in that more work is needed to document, reflect and challenge assumptions on decisions made on the design process before the work takes place.",0.8,12,1be953cb-a7a4-4850-b7e4-a3743639c16a
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,discussion,"Reflective processes can make visible research and design assumptions and create a deeper understanding of practice from the stakeholders’ perspective (which, like other community-based participatory research projects, may involve a plurality of practices [48]).",0.8,12,fdb6bdd5-213b-481f-b4d0-10260eaf3d4b
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,discussion,"We encourage researchers to consider reflection activities in collaboration with autistics on the methods employed to foster participation (whether interviews, focus groups, or workshops), and whether those approaches are suitable for communication between all stakeholders involved and harness their strengths.",0.9,12,37d2abd8-2dec-4834-b338-11ebf8197753
Autisticadults,Unknown,,,autisticadults.pdf,claim,mixed,discussion,"Our analysis suggests that there is not a “one size fits all” solution, but rather an approach that is revisited and refined for future work following reflections between autistic and non-autistic stakeholders.",0.9,12,e10fd11d-028f-477b-9fb2-775fc8d0cb27
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,conclusion,"In conclusion, the projects examined showed diverse ways of involving autistic adults in design, from tailored methodologies to providing multiple modes to participate in specific design activities.",0.95,14,e342d629-0bf0-4008-b95d-876455e6886f
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,conclusion,"Through the lens of Program Theory, we shed light on how participatory design activities unfolded and the opportunities for further involvement.",0.9,14,83510093-c3fa-4b39-a09c-4617747e4da3
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,conclusion,"We believe this was a valuable means for understanding how participation was mapped throughout the process of all projects: it drew attention to who was involved, how activities were structured to foster participation, and the long-lasting effects of the process.",0.85,14,b73aebf3-897b-4b57-b838-dff43cf6c2b9
Autisticadults,Unknown,,,autisticadults.pdf,finding,qualitative,conclusion,It also revealed discussions that require attention (e.g. decision-making in participation).,0.9,14,f5f24c0f-46e7-4030-b2c3-14d2e6fade08
Autisticadults,Unknown,,,autisticadults.pdf,claim,theoretical,conclusion,"our proposed opportunities for design can help researchers consider how their project inputs, mechanisms, and effects fall in line with the autistic stakeholders’ strengths, values, and desired outcomes/impacts - meaning that they are leading to more autistic-centred approaches.",0.9,14,79a91478-98a4-4b84-8024-c0efc52625c4
